window_id,video_name,conversation_id,split,start_sec,end_sec,duration_seconds,window_word_count,window_speaker_count,speaker_ids_in_window,background_fan,background_music,review_status,trigger_decision,reviewer_notes,transcript_turn_count,transcript_speaker_ids,transcript_text
scenario__social_dinner_01__0000_0090,scenario__social_dinner_01,scenario__social__social_dinner_01,scenario_test,0,90,90,226,3,1 2 3,False,False,reviewed,has_triggers,Scenario: Dinner party — dietary restriction mentioned earlier in conversation. Category: social.,18,1 2 3,"[00:00.00] P3: Yeah so I've been trying to eat more plant-based lately. Actually I went fully vegetarian about three months ago.
[00:07.00] P2: Oh nice, how's that going?
[00:09.00] P3: It's been great honestly. I feel a lot more energy. The hardest part is eating out because a lot of places don't have great options.
[00:16.00] P2: Yeah I can imagine.
[00:18.00] P1: That's cool. I tried doing meatless Mondays for a while but couldn't stick with it.
[00:23.00] P3: Ha, that's how it started for me too.
[00:26.00] P2: So what should we do for dinner tonight? I'm starving.
[00:30.00] P1: Oh yeah, let me think. There's this new place that opened up on Main Street.
[00:35.00] P2: Which one?
[00:36.50] P1: The Argentine steakhouse. I heard it's amazing. They do this whole wood-fired grill thing.
[00:42.00] P2: Oh I've seen that place, the reviews are incredible.
[00:45.00] P3: Um, yeah I've heard of it.
[00:48.00] P1: Should I make a reservation? They might be busy on a Friday.
[00:52.00] P3: I mean, do they have non-meat options? Because you know I'm vegetarian.
[00:57.00] P1: Oh right, sorry, I totally forgot. Okay let me think of somewhere else.
[01:01.00] P2: What about that Mediterranean place? They have tons of veggie stuff.
[01:05.00] P3: Oh yeah, I love that place.
[01:07.00] P1: Perfect, let's do that."
scenario__work_interview_01__0000_0075,scenario__work_interview_01,scenario__job_interview__work_interview_01,scenario_test,0,75,75,237,2,1 2,False,False,reviewed,has_triggers,Scenario: Behavioral interview — incomplete STAR answer. Category: job_interview.,11,1 2,"[00:00.00] P2: So next I'd like to ask, tell me about a time you had to deal with a significant conflict on your team.
[00:06.00] P1: Sure. So at my previous company we were building a new e-commerce platform and there was a pretty big disagreement between the backend and frontend teams about the architecture.
[00:15.50] P2: What was the disagreement about specifically?
[00:17.50] P1: The backend team wanted to go with microservices because they said it would scale better long term. But the frontend team wanted a monolith because they said microservices would slow down their development cycle. It was getting pretty heated in meetings.
[00:30.00] P1: So what I did was I organized a workshop where both teams could present their arguments with actual data. I created a comparison matrix of the trade-offs. Build time, deployment complexity, team autonomy, that kind of thing.
[00:42.00] P2: That sounds structured. What happened?
[00:44.00] P1: We ended up going with a modular monolith approach that gave us the clean separation the backend team wanted but without the operational overhead that concerned the frontend team. Everyone felt heard and we moved forward.
[00:57.00] P2: Interesting. And what was the outcome?
[01:00.00] P1: I mean everyone was happy with the decision. We moved on and built the thing.
[01:05.00] P2: Can you quantify the impact at all?
[01:07.00] P1: Uh, well we shipped the platform on time which was good."
scenario__work_negotiation_01__0000_0090,scenario__work_negotiation_01,scenario__negotiation__work_negotiation_01,scenario_test,0,90,90,275,2,1 2,False,False,reviewed,has_triggers,Scenario: Salary negotiation — initial offer response. Category: negotiation.,14,1 2,"[00:00.00] P2: Thanks for coming in today. We're really excited to extend an offer. Let me walk you through the details.
[00:06.00] P1: Great, I'm excited to hear it.
[00:08.50] P2: So the role is Senior Software Engineer. We're thinking a base salary of 130K, with standard benefits, and a 10 percent annual bonus target.
[00:18.00] P1: Okay.
[00:19.50] P2: We think it's a competitive package given the market.
[00:22.00] P1: Hmm. I appreciate the offer. Let me think about the base for a second.
[00:27.00] P2: Of course, take your time.
[00:30.00] P1: So 130 is a bit below what I was expecting based on my research. I've seen similar roles in this area going for 150 to 170. Given my eight years of experience and the fact that I'd be leading the platform team, I was hoping we could land closer to 160.
[00:47.00] P2: I hear you. We do have some flexibility but 160 might be at the top of our band for this level.
[00:53.00] P1: I understand bands can be tight. Would it help if we talked about the total comp? I'm also interested in equity and the signing bonus if that's on the table.
[01:03.00] P2: Yeah absolutely. We can do 20K in RSUs vesting over four years and I might be able to get a 10K signing bonus approved.
[01:12.00] P1: That's helpful. What about the base though? Could we meet at 155?
[01:17.00] P2: Let me take that back to the comp team. I think 150 base might be doable.
[01:22.00] P1: I could work with 150 if we can firm up the equity and signing bonus."
scenario__work_client_01__0000_0075,scenario__work_client_01,scenario__client_meeting__work_client_01,scenario_test,0,75,75,236,3,1 2 3,False,False,reviewed,has_triggers,Scenario: Client call — committing to timeline before understanding scope. Category: client_meeting.,14,1 2 3,"[00:00.00] P2: Thanks for hopping on the call. So we've been using your analytics module for about a month now and the team loves it.
[00:07.00] P1: Great to hear, glad it's working out.
[00:09.50] P2: The thing is, we're launching our Q3 campaign in three weeks and we really need the custom dashboard feature. That was on the roadmap right?
[00:18.00] P1: Yeah absolutely, the custom dashboards are definitely planned.
[00:21.00] P2: Awesome. So can we count on having it by June 1st?
[00:24.50] P1: June 1st. Yeah I think we can make that work. Let me just double check with the team but that should be doable.
[00:32.00] P3: Actually I think we should talk about scope first. What exactly do you need in the custom dashboard?
[00:38.00] P2: We need to be able to create our own views with drag and drop widgets, filter by date range, and export to PDF.
[00:45.00] P3: Okay that's pretty full-featured. The drag and drop alone is probably two sprints.
[00:50.00] P1: Well we could probably do a simplified version first. Maybe predefined layouts with customizable widgets.
[00:56.00] P2: Hmm, I mean we really need the drag and drop. That's the whole point.
[01:00.00] P1: Okay let me talk to the engineering lead and get back to you with a realistic timeline.
[01:05.00] P2: Sure. Just let us know by end of week.
[01:08.00] P1: Will do."
scenario__academic_defense_01__0000_0090,scenario__academic_defense_01,scenario__academic__academic_defense_01,scenario_test,0,90,90,246,3,1 2 3,False,False,reviewed,has_triggers,Scenario: Thesis defense — deflecting instead of answering. Category: academic.,9,1 2 3,"[00:00.00] P2: Thank you for the presentation. I have a question about your methodology. How do you account for selection bias in your participant sample?
[00:08.50] P1: Great question. So our participants were recruited through university mailing lists and social media. We had a diverse sample spanning ages 18 to 45, roughly balanced gender split, and we included participants from multiple departments.
[00:22.00] P2: Right, but those are all university-affiliated people. How does that affect the generalizability of your findings?
[00:28.00] P1: Well we did try to include some non-student participants. About 30 percent of our sample were staff and faculty rather than students.
[00:36.00] P2: But they're still university-affiliated. My question is specifically about selection bias. People who respond to study recruitment emails are fundamentally different from people who don't.
[00:46.00] P1: Right, I see what you're saying. So our study design was validated against similar protocols in the literature. Smith et al 2022 used a very similar recruitment strategy and their findings were replicated across three different institutional settings.
[00:59.00] P3: I think Professor Chen is asking whether you acknowledge this as a limitation and how it might bound your claims.
[01:05.00] P1: Yes, absolutely. It is a limitation. We discuss it in Section 5.3. We note that our findings should be interpreted within the context of university populations and that further work is needed with more diverse recruitment strategies.
[01:18.00] P2: Thank you. That's the kind of direct acknowledgment I was looking for."
scenario__medical_visit_01__0000_0075,scenario__medical_visit_01,scenario__medical__medical_visit_01,scenario_test,0,75,75,247,2,1 2,False,False,reviewed,has_triggers,Scenario: Doctor visit — forgetting to mention a related symptom. Category: medical.,16,1 2,"[00:00.00] P2: So what brings you in today?
[00:02.50] P1: I've been having these headaches for about two weeks now. They're mostly in the morning when I wake up. Also I've been getting a bit dizzy sometimes but the headaches are the main thing.
[00:12.00] P2: Okay. Can you describe the headache pain? Is it sharp, dull, throbbing?
[00:16.00] P1: More like a dull pressure. Kind of behind my eyes and across my forehead.
[00:21.00] P2: Any nausea or sensitivity to light?
[00:23.50] P1: No nausea. Maybe a little light sensitivity but nothing major.
[00:28.00] P2: Have you been under more stress than usual? Any changes in sleep?
[00:32.00] P1: I mean work has been busy but nothing crazy. Sleep is okay, maybe six hours a night.
[00:38.00] P2: Six hours is a bit low. Are you drinking enough water?
[00:41.50] P1: Probably not as much as I should be.
[00:44.00] P2: Any other symptoms I should know about? Anything at all?
[00:47.00] P1: No I think the headaches are really the main thing.
[00:50.00] P2: Alright. This sounds like tension headaches, possibly aggravated by mild dehydration and sleep deficit. I'm going to recommend increasing your water intake, trying to get seven to eight hours, and you can take ibuprofen as needed.
[01:01.00] P1: Okay sounds good.
[01:03.00] P2: If it doesn't improve in two weeks come back and we'll do some further testing. Any other questions?
[01:08.00] P1: No I think that covers it. Thank you."
scenario__work_brainstorm_01__0000_0090,scenario__work_brainstorm_01,scenario__brainstorm__work_brainstorm_01,scenario_test,0,90,90,263,3,1 2 3,False,False,reviewed,has_triggers,Scenario: Brainstorm — idea restated by someone else and praised. Category: brainstorm.,15,1 2 3,"[00:00.00] P2: Okay so we need to figure out how to handle the traffic spikes during product launches. Last time the site went down for twenty minutes and we lost a ton of orders.
[00:10.00] P1: What if we used a message queue? Like we could put incoming orders into a queue and process them asynchronously. That way the frontend stays responsive even under heavy load.
[00:20.00] P3: Hmm. I don't know, queues add complexity. What about just scaling up the servers?
[00:26.00] P2: Auto-scaling takes time to spin up though. By the time new instances are ready we've already lost requests.
[00:32.00] P3: Fair point.
[00:34.00] P2: What if we pre-warmed the instances before the launch?
[00:37.50] P3: That could work but it's wasteful if we overestimate.
[00:41.00] P2: True.
[00:43.00] P3: You know what, I just thought of something. What if we implement an event-driven architecture with a message broker? Orders come in, get published to a topic, and worker services process them at their own pace. The user gets an immediate acknowledgment and the order processes in the background.
[00:58.00] P2: Oh that's really smart. Yeah an event-driven approach would decouple the ingestion from the processing.
[01:03.00] P3: Exactly. And we can scale the workers independently.
[01:07.00] P2: I love it. Let's go with that.
[01:10.00] P1: I mean, that's basically what I said earlier with the message queue.
[01:14.00] P3: Oh, is it? I think the event-driven part is a bit different.
[01:18.00] P2: Yeah let's not get hung up on credit. The point is we have a direction."
scenario__sales_demo_01__0000_0075,scenario__sales_demo_01,scenario__sales__sales_demo_01,scenario_test,0,75,75,213,3,1 2 3,False,False,reviewed,has_triggers,Scenario: Product demo — missed buying signal. Category: sales.,14,1 2 3,"[00:00.00] P1: So let me show you the analytics dashboard. This is where you'll see all your campaign performance in real time.
[00:07.00] P2: Oh wow. This is really clean.
[00:09.50] P1: Thanks. You can filter by date range, campaign type, and audience segment. And everything updates in real time.
[00:16.00] P2: Can you export this data?
[00:18.00] P1: Absolutely. CSV, PDF, and we also have an API if you want to pipe it into your own tools.
[00:24.00] P2: That's huge. Our current platform doesn't do any of that. We've been manually pulling reports every week.
[00:31.00] P3: Honestly this is exactly what we've been looking for. We've been evaluating tools for three months.
[00:37.00] P1: Great. So let me also show you the A/B testing module. This is really cool. You can set up experiments with different creative variants and it'll automatically allocate traffic.
[00:47.00] P2: Okay.
[00:48.50] P1: And over here we have the audience builder. You can create custom segments based on behavior, demographics, purchase history.
[00:56.00] P2: Uh huh.
[00:57.00] P1: And we just launched our AI-powered recommendation engine that suggests optimal send times.
[01:03.00] P3: That's interesting. Look, I think we've seen enough. Can we talk about pricing and implementation timeline?
[01:09.00] P1: Oh, sure. Yeah absolutely."
scenario__conflict_resolution_01__0000_0090,scenario__conflict_resolution_01,scenario__difficult_conversation__conflict_resolution_01,scenario_test,0,90,90,274,2,1 2,False,False,reviewed,has_triggers,Scenario: 1:1 feedback — about to dismiss emotional response. Category: difficult_conversation.,13,1 2,"[00:00.00] P1: Thanks for meeting with me. I wanted to talk about the last couple of sprint deliverables.
[00:05.50] P2: Sure, what's up?
[00:07.00] P1: So the user profile feature had some significant quality issues. QA found twelve bugs in the initial review, and three of them were critical. The checkout flow had similar problems.
[00:18.00] P2: Okay, I mean some of those bugs were edge cases.
[00:21.50] P1: Three critical bugs isn't edge cases. The checkout flow was literally losing cart items. That's a p-zero.
[00:28.00] P2: I hear you but I've been working sixty hour weeks for the last month. I'm the only one on the payments team and I've been picking up slack for the people who left.
[00:37.00] P1: I understand you've been putting in a lot of hours but the hours don't really matter if the output quality—
[00:43.00] P2: Wow. Okay. So the hours don't matter. That's great to hear from my manager.
[00:48.00] P1: That's not what I meant. I'm saying that we need to find a way to maintain quality standards regardless of the workload.
[00:55.00] P2: Maybe the quality standards should account for the fact that I'm doing three people's jobs.
[01:00.00] P1: Look, I hear that you're stretched thin and I want to help with that. Let's talk about what we can do. Can we reprioritize some of your tasks or get you some support?
[01:10.00] P2: I mean, that would actually help. I've been asking for another engineer for two months.
[01:15.00] P1: Okay. Let me escalate the headcount request this week. In the meantime, let's figure out which deliverables we can push."
scenario__learning_tutorial_01__0000_0075,scenario__learning_tutorial_01,scenario__learning__learning_tutorial_01,scenario_test,0,75,75,214,3,1 2 3,False,False,reviewed,has_triggers,Scenario: Study group — factual error being accepted. Category: learning.,14,1 2 3,"[00:00.00] P2: Okay so let's review networking protocols for the exam. I'll start with TCP.
[00:05.00] P3: Sure go ahead.
[00:06.50] P2: So TCP uses a three-way handshake to establish a connection. First the client sends a SYN packet. Then the server responds with an ACK. And then the client sends a FIN to complete the handshake.
[00:18.00] P3: Right, SYN, ACK, FIN. That makes sense.
[00:21.00] P2: Exactly. And then once the connection is established, data transfer begins.
[00:25.00] P1: Wait, I think—
[00:26.50] P2: And then for closing the connection you have the four-way teardown with FIN and ACK in both directions.
[00:33.00] P3: Okay so SYN ACK FIN to open, and FIN ACK FIN ACK to close.
[00:38.00] P2: Yep. Let's move on to UDP.
[00:40.00] P1: Actually hold on. I want to go back to the handshake. The three-way handshake is SYN, then SYN-ACK, then ACK. Not SYN, ACK, FIN. FIN is for closing connections.
[00:52.00] P2: Wait really? Let me check my notes.
[00:55.00] P3: Oh yeah, P1 is right. It's SYN, SYN-ACK, ACK. I remember now from the lecture slides.
[00:60.00] P2: Oh man, I've had that wrong in my notes this whole time. Good catch.
[01:04.00] P1: Yeah FIN is the termination flag. Easy to mix up."
